red_shift,dist2d,flux
0.1274,0.29966705485067624,3.1203414242294717e-06
2.8704,0.4129854404362354,5.104960109747481e-06
0.3547,0.11985074694195011,2.3213990152726184e-05
0.3559,0.03137701911327913,6.369284028551192e-06
0.7886,0.11333249342653677,4.5599530949402835e-06
0.4945,0.03941360194549877,4.228886685571827e-06
0.3789,0.08909661873560337,4.061191443075326e-06
0.32,0.10776508602750376,2.901359948737081e-06
0.4594,0.09048556085703387,7.81528000088121e-06
0.0,0.38412996996588417,1.2411700178442212e-05
0.3968,0.019277147860652818,1.2902377925961951e-05
0.0,0.051761338628706334,3.711737008416094e-05
0.3597,0.04175292346738457,1.6404598351403944e-05
0.6179,0.3952350448412098,7.733430265943753e-06
0.5006,0.09609072834729555,1.9203975095175945e-05
0.6525,0.05159976553738057,7.700538455018041e-06
0.07,0.054272691140517935,1.239190071698561e-05
0.0,0.14394613011484908,5.883802009520877e-06
1.4601,0.149046407067002,2.488571999492706e-06
0.2821,0.09926331072196992,2.500790060366853e-06
0.6046,0.2129097342718421,3.4022674526568153e-06
0.6046,0.22806865036653565,3.5989000934932847e-06
1.1724,0.27823045203217106,2.794545025608386e-06
0.4887,0.21700839444477688,2.908340093199513e-06
0.3043,0.07002596437889404,1.397061242869313e-05
0.442,0.06165170807809198,6.095403326374556e-06
0.4883,0.4402193500098726,7.98422979642055e-06
3.2605,0.20767146672556008,2.512950004529557e-06
0.4883,0.08566548193434548,7.076258463292526e-06
0.2868,0.21151030381952735,2.4431700467175688e-06
0.4497,0.07867424447880617,1.4757955593975365e-05
0.5166,0.1059020184435702,3.008838575624395e-06
0.6294,0.08306532666269874,6.6476878341096124e-06
2.7016,0.2922872754294522,7.160379936976824e-06
0.5099,0.1036508070986878,2.4754550622674287e-06
0.4712,0.06359483608363961,9.18264080003913e-06
0.48147902,0.05782180284509103,1.6409317782638347e-05
0.661,0.03445423305061843,2.8969075174245518e-06
0.00022950364,0.1364153667925166,0.0009175485647574533
0.0998,0.30190972862200677,0.00015911340861665931
0.0,0.06845928441128905,4.103060035731687e-06
0.1887,0.43700431872853374,2.2564699975191616e-06
0.0,0.13782968430499498,2.362735028782481e-05
0.3741,0.44497429667203364,2.8207000468682963e-06
0.3691,0.06114465461297755,2.2243404964683576e-05
0.3818,0.10674221074222874,3.7161320506129413e-06
0.3701,0.08051445387487029,8.653266291958062e-06
0.3703,0.15604964480777864,1.777977721710493e-05
0.372,0.0417816107600535,3.80673814106558e-05
0.5168,0.2889799811666229,1.6829877747821025e-05
0.5344,0.1645575615953255,2.9936400096630678e-06
0.4284,0.3073020662845826,2.845579956556321e-06
0.373,0.11730878369403512,4.191398744524122e-06
0.3375,0.06908717305971279,5.414419774751877e-06
3.3446,0.4808765659824933,2.2769299903302453e-06
0.3571,0.27713470545085855,2.981905026899767e-06
0.4367,0.14562474315179555,9.034253113126257e-06
0.3885,0.12696872202232334,2.9764200007775798e-06
0.6252,0.07469109422743835,3.4704242872456755e-06
0.3803,0.07925962825555663,1.726455002426519e-05
0.316,0.31516663441015713,3.029249910468934e-06
0.6994,0.1260609833711203,3.0566150144295534e-06
0.3037,0.39163655579410434,3.6099600038141944e-06
1.2926,0.2774132865990927,2.7487999432196375e-06
0.4822,0.17980053444979066,3.1725599910714664e-06
0.655,0.28649803441195915,2.4246799057436874e-06
0.6957,0.009708730753947143,6.0181608784081284e-06
